text,true_label,baseline_pred,stacked_pred,transformer_pred
"@Mistywoman1 Have I missed something, or has phallocentrism become the latest cult?",JUDGEMENTAL,-,DIRECT,-
Fuck's sake is it possible to have a furry space that's not explicitly content-restricted and doesn't immediately become yet another showcase for size-queen phallocentrism?,JUDGEMENTAL,-,-,-
"Freud claims girls have a dicklet. The clitoris has phallic significance. Phallocentrism reduces even female genitalia to the Phallus. The other parts of the vagina, the clit, and more constitute the plurality of female sexuality. The clit coexists with non-phallic body parts.",JUDGEMENTAL,-,-,DIRECT
Had a dream that I was at a party with my friend and Bill Gates showed up and I said to my friend look at his pregnant ass belly,-,DIRECT,DIRECT,REPORTED
"@townhallcom I don’t care what gender, race, religion,sexual orientation a person is as long as they are qualified for that position. That being said, is she qualified based on experience/education or was she chosen solely because she is black and gay to please progressives/woke. Just saying.",DIRECT,-,-,-
"@DADiClementi It just shows how money rules the world. I'm so disappointed that Ripley's would even allow it out of the building and to let that Reality Skank get it was an incredible insult. I was waiting for an SUB full of armed robbers to overtake her. In the end, Khloe looked better.",DIRECT,-,JUDGEMENTAL,-
@iitzkeisha I kinda get her point but a slag is too far off for me 😭 https://t.co/Vh0tq57Qc6,DIRECT,-,-,-
"@djxmenez yea back when i didn’t even have one to slap, unfortunate !",DIRECT,-,-,-
I’m just a pretty little freaky black slut who wants to be filled up with cum and treated like a princess 🥰 Look at the view 🥵  scenes from my first scat video :) #nsfwtwt #blonde #babygirl #creamyebony #creamypussy #daddysgirl #horny #ebonyteen #slut #useme #dmme https://t.co/EVIBF3apqp,-,DIRECT,DIRECT,DIRECT
"In movies and TV shows of the 1950s and 1960s, men would spank women who had gone astray or whatever, reminding us that all punishment must include a physical element as well.",JUDGEMENTAL,DIRECT,-,REPORTED
@GOP But the child raped by her FATHER will be sacrificed for the fetus...But the woman raped by the MAN will be sacrificed for the fetus.But the teen impregnated by a MAN who used her will be sacrificed for the fetus.SEEMS LIKE 'MEN' ARE THE PROBLEM.,JUDGEMENTAL,DIRECT,DIRECT,REPORTED
That's why they always tell you..you will never understand women. https://t.co/Q6KaaNVYRL,JUDGEMENTAL,DIRECT,-,DIRECT
fainted wearing a Very short skirt and no one could legally touch me so i just had my ass out until the nurse came 😭 https://t.co/qwi7fyO98B,REPORTED,-,-,-
"@itzbrennan I didn’t even know that was possible omg sorry you gotta go through that. Uterus cramps, butt cramps, and now heart cramps women can’t catch a break 🥲",REPORTED,-,DIRECT,-
@lykachu_ God the comments on this post are all so idiotic I hate Twitter i hate you all“I women don’t know how condoms work neither do you” you act like you’ve never bought the wrong sized pad or tampon“THEYRE TELLING US WHAT TO DO WITG OUR BODIES” no she doesn’t want a baby or STDs,REPORTED,DIRECT,-,DIRECT
@elonmusk Says the man who is always on his phone? Well in your case you can still proposition women for sex while outside .,DIRECT,JUDGEMENTAL,JUDGEMENTAL,REPORTED
"@RealKidPoker 2. Poker rooms. The other fallacy I think you have is in terms of your comparison to romance novels; while you may be correct that there may be a difference in interest, in your comparison there are no barriers for men to buy romance novels. Women have to brace themselves for",JUDGEMENTAL,DIRECT,-,-
"@rachelnabors Wanna know a fun way to make a nut like that angry?Step in between him and the women when they go to leave, then point to your airpods and say ""I can't hear you bro, my headphones are in"" when he starts to yell at you instead.",REPORTED,DIRECT,-,DIRECT
"This genration are no more then selfish cunts. More matter how genuine you are, you do all the right things and  they still make you look like a cunt. It’s only getting worse too, and people ask me why I don’t bother with anyone",DIRECT,JUDGEMENTAL,JUDGEMENTAL,-
""" get changed , you look like a prostitute . ""She smirked and walked off to her room , hips swinging side to side as Ahri just sat there near the couch, on the floor . https://t.co/hWowZcLPH8",REPORTED,DIRECT,-,DIRECT
made this top and my mom gave me the “you look like a whore” expression 😂 anyways here’s this shirt i braided myself https://t.co/0j2mMv47wl,REPORTED,-,-,DIRECT
