text,true_label,baseline_pred,stacked_pred,transformer_pred
@GOP But the child raped by her FATHER will be sacrificed for the fetus...But the woman raped by the MAN will be sacrificed for the fetus.But the teen impregnated by a MAN who used her will be sacrificed for the fetus.SEEMS LIKE 'MEN' ARE THE PROBLEM.,JUDGEMENTAL,DIRECT,DIRECT,REPORTED
@UberFacts Today’s women eye makeup. And those nails too.,-,DIRECT,DIRECT,DIRECT
"#Women should focus on money freedom, and not retirement! Today's women may still think about #retirement as ""not having to work.""  Read why! &gt; https://t.co/ZUqeOoDpIg#financialplanning #financialadvisor #financialfreedom #retirementplanning #empoweringwomen #albuquerque #ABQ https://t.co/O3AFiAhK87",DIRECT,-,-,-
@bhargavtata0 oh so now u can’t understand women’s words??????,-,DIRECT,DIRECT,DIRECT
That's why they always tell you..you will never understand women. https://t.co/Q6KaaNVYRL,JUDGEMENTAL,DIRECT,-,DIRECT
fainted wearing a Very short skirt and no one could legally touch me so i just had my ass out until the nurse came 😭 https://t.co/qwi7fyO98B,REPORTED,-,-,-
the question is do i wear the very short skirt that literally shows my ass with kneehighs or opt out for a short 🤔,-,DIRECT,DIRECT,DIRECT
"@itzbrennan I didn’t even know that was possible omg sorry you gotta go through that. Uterus cramps, butt cramps, and now heart cramps women can’t catch a break 🥲",REPORTED,-,-,-
@lykachu_ God the comments on this post are all so idiotic I hate Twitter i hate you all“I women don’t know how condoms work neither do you” you act like you’ve never bought the wrong sized pad or tampon“THEYRE TELLING US WHAT TO DO WITG OUR BODIES” no she doesn’t want a baby or STDs,REPORTED,DIRECT,DIRECT,JUDGEMENTAL
@elonmusk Says the man who is always on his phone? Well in your case you can still proposition women for sex while outside .,DIRECT,REPORTED,JUDGEMENTAL,REPORTED
"@RealKidPoker 2. Poker rooms. The other fallacy I think you have is in terms of your comparison to romance novels; while you may be correct that there may be a difference in interest, in your comparison there are no barriers for men to buy romance novels. Women have to brace themselves for",JUDGEMENTAL,-,DIRECT,-
Why did the white women have to be “BOUGIE” because she didn’t want her child exposed the conversation…So are are we supposed to accept this as part of the “black culture” too⁉️#RHOA @iheartMarlo https://t.co/WRvYSesxuw,-,DIRECT,DIRECT,REPORTED
@pelecius @iammrstiles @ZykieMan @jihadwatchRS didn't abuse him saying it to his face.Proofs to prove this is a false writing_ The prophet detest hurting of women generally to the extent he warned his companions that women shouldn't be hurt during wars talkless of being killed.-The prophet is against killing of any unless,JUDGEMENTAL,REPORTED,DIRECT,REPORTED
"@rachelnabors Wanna know a fun way to make a nut like that angry?Step in between him and the women when they go to leave, then point to your airpods and say ""I can't hear you bro, my headphones are in"" when he starts to yell at you instead.",REPORTED,-,DIRECT,DIRECT
""" get changed , you look like a prostitute . ""She smirked and walked off to her room , hips swinging side to side as Ahri just sat there near the couch, on the floor . https://t.co/hWowZcLPH8",REPORTED,DIRECT,DIRECT,DIRECT
made this top and my mom gave me the “you look like a whore” expression 😂 anyways here’s this shirt i braided myself https://t.co/0j2mMv47wl,REPORTED,-,-,DIRECT
